name,format,overs,runs_conceded,wickets,matches
Ruchit Ahir,T20,0,0,0,7
Chetan Sakariya,T20,12,120,5,3
Harry Brook,T20,1,24,0,27
Shivang Kumar,IPL,16,178,1,5
Vishen Halambage,T20,4,48,6,3
Codanda Ajit Karthik,IPL,34,327,8,10
Carlos Brathwaite,IPL,4,40,0,1
Vishen Halambage,IPL,359,2944,153,108
Sandeep Warrier,IPL,12,125,1,3
Umesh Yadav,IPL,11,135,1,3
Shashank Singh,IPL,2,20,0,6
Ben Stokes,IPL,153,1453,30,43
Phil Salt,IPL,0,0,0,22
Manav Suthar,IPL,63,574,17,18
Gurnoor Singh Brar,IPL,34,375,6,14
Sdnv Prasad,IPL,0,0,0,76
KS Bharat,T20,0,0,0,2
Shivang Kumar,T20,7,63,1,2
Prince Yadav,IPL,157,1561,25,44
Gus Atkinson,IPL,185,1718,44,52
Krishnappa Gowtham,IPL,41,337,12,12
Nandre Burger,IPL,7,82,3,2
David Warner,IPL,0,0,0,56
Kishan Lyngdoh,IPL,0,0,0,49
Binura Fernando,IPL,73,668,33,19
James Rew,T20,0,0,0,8
Malinda Pushpakumara,T20,25,161,13,9
David Miller,IPL,0,0,0,86
Dunith Wellalage,IPL,16,140,0,7
Gurinder Singh,T20,25,185,12,8
Prabath Jayasuriya,T20,19,134,10,8
Krishnappa Gowtham,T20,6,42,5,2
Nishant Sindhu,IPL,46,473,8,28
Shubham Dubey,IPL,0,0,0,6
Matt Short,IPL,26,267,1,39
Aneurin Donald,IPL,0,0,0,55
Seekkuge Prasanna,IPL,84,726,36,31
Arpit Vasavada,IPL,144,1319,48,40
Murvin Abinash,IPL,8,74,2,2
Steve Smith,IPL,0,0,0,27
Samant Jakhar,IPL,23,236,5,9
Shubham Agarwal,IPL,141,1399,48,41
Sonny Baker,IPL,103,958,33,28
Theesan Vithushan,IPL,91,881,45,24
Jacques Snyman,IPL,10,88,4,5
Matt Renshaw,IPL,4,57,1,6
Joel Davies,IPL,219,1837,85,68
Lone Nasir Muzaffar,IPL,20,205,6,7
Glenton Stuurman,IPL,189,1761,45,58
Raj Angad Bawa,IPL,98,1043,24,64
Senitha Halambage,IPL,15,145,7,5
Mayank Agarwal,IPL,0,0,0,5
Aaron Hardie,IPL,20,222,0,13
Karan Shinde,IPL,2,26,0,40
Sayan Ghosh,IPL,33,284,7,9
Gangam Anikethreddy,IPL,87,808,25,26
Josh Philippe,IPL,0,0,0,22
Jonny Bairstow,IPL,0,0,0,13
CJ Bowes,T20,0,0,0,9
Chris Lynn,T20,0,0,0,10
Brad Evans,T20,31,280,17,9
Ajay Dev Goud,T20,27,225,17,9
Samant Jakhar,T20,42,468,18,17
Shubham Agarwal,T20,9,75,5,10
Sonny Baker,T20,31,259,18,9
Theesan Vithushan,T20,29,247,13,10
Rahmanullah Gurbaz,IPL,0,0,0,9
Vaisakh Chandran,IPL,76,749,17,29
Steve Smith,T20,0,0,0,1
Aneurin Donald,T20,0,0,0,2
Seekkuge Prasanna,T20,3,35,4,2
Ashwin Das,IPL,24,236,3,11
CJ Bowes,IPL,0,0,0,9
Chris Lynn,IPL,0,0,0,25
Ajay Dev Goud,IPL,77,758,16,23
Luke Wood,IPL,37,343,8,12
Ashwin Das,T20,0,0,0,1
