name,format,runs,balls,matches,innings
Christopher Britz,T20,53,63,2,2
Sdnv Prasad,T20,29,30,2,1
Ismat Alam,T20,14,13,2,1
Deepak Hooda,T20,1,2,2,0
Jai Moondra,T20,0,0,2,0
Athisayaraj Davidson,T20,0,0,2,0
Bipin Saurabh,T20,379,208,6,4
Tripuresh Singh,T20,16,11,7,2
Sonu Yadav,T20,93,74,5,5
Lance Morris,T20,6,5,5,0
Charith Asalanka,IPL,99,40,4,4
Josh Tongue,IPL,45,36,11,3
Calvin Harrison,IPL,37,29,22,2
Dan Lawrence,IPL,28,24,2,1
Saransh Jain,IPL,27,22,20,0
Dan Lawrence,T20,0,0,4,0
Nimesh Vimukthi,T20,0,1,1,1
Maheesh Theekshana,T20,1,1,1,0
Isitha Wijesundara,T20,11,8,1,0
Duvindu Tillakaratne,T20,0,0,1,0
Raj Limbani,T20,0,0,1,0
Yash Dhull,T20,13,12,1,1
Mridul Surroch,T20,63,46,1,0
Ashton Turner,T20,0,1,1,1
Beau Webster,T20,32,21,1,1
Craig Overton,T20,11,11,1,1
Sonal Dinusha,T20,0,1,1,0
Mohamed Shiraz,T20,0,0,1,0
Charith Asalanka,T20,8,10,3,2
Sahan Arachchige,T20,2,5,3,2
Dega Nischal,T20,39,26,3,2
Dasun Shanaka,T20,38,19,2,2
Duan Jansen,T20,7,10,2,2
Vasuki Koushik,T20,0,1,2,1
Vaisakh Chandran,T20,0,1,3,1
Chamika Gunasekara,IPL,18,17,9,0
Kamil Mishara,IPL,62,46,2,2
Lahiru Udara,IPL,41,27,2,2
Gareth Delany,IPL,17,10,5,2
Kusal Mendis,T20,2,3,1,1
Gangam Anikethreddy,T20,0,1,1,1
Saransh Jain,T20,10,4,1,0
Gareth Delany,T20,4,6,1,1
Abhimanyu Easwaran,T20,57,27,1,1
